symbol,color1,color2,color3
WDC,[255. 212.   0.],[157.  10.  14.],[  2.  93. 126.]
WU,[167. 167. 167.],[128. 128. 128.],[223. 223. 223.]
WRK,[255. 131.   3.],[252. 250. 249.],[  1. 104. 168.]
WY,[  0. 139.  76.],[0. 0. 0.],[  0. 129.  71.]
WHR,[ 13.  67. 107.],[255. 255. 255.],[215. 218. 221.]
WMB,[219. 176.  73.],[242. 241. 244.],[165. 202. 195.]
WLTW,[110.  43. 141.],[187. 165. 200.],[254. 254. 254.]
WYNN,[213.   1.  60.],[206.  43.  70.],[177. 154.  97.]
XEL,[237.  34.  41.],[34. 30. 31.],[248. 248. 248.]
XLNX,[228.  30.  28.],[234. 230. 231.],[157. 145. 144.]
XYL,[  0. 127. 168.],[115. 171. 196.],[164. 197. 214.]
YUM,[237.  29.  38.],[255. 255. 255.],[253. 220. 221.]
ZBRA,[ 10. 140. 120.],[ 90. 194. 177.],[249. 248. 245.]
ZBH,[ -0. 159. 223.],[55. 27.  0.],[51. 51. 51.]
ZION,[84. 83. 74.],[218. 218. 217.],[255. 255. 255.]
ZTS,[193. 127.  95.],[239. 234. 232.],[254. 254. 254.]
