,Symbol,Name,Sector,Industry,Founded,Date first added,Headquarters Location
393,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1967.0,2007.2.2,"New York, New York"
394,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,1962.0,2017.3.20,"St. Petersburg, Florida"
395,RTX,Raytheon Technologies,Industrials,Aerospace & Defense,1922.0,1900.1.0,"Waltham, Massachusetts"
396,O,Realty Income Corporation,Real Estate,Retail REITs,1969.0,2015.4.7,"San Diego, California"
397,REG,Regency Centers,Real Estate,Retail REITs,1963.0,2017.3.2,"Jacksonville, Florida"
398,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,1988.0,2013.5.1,"Tarrytown, New York"
399,RF,Regions Financial Corporation,Financials,Regional Banks,1971.0,1998.8.28,"Birmingham, Alabama"
400,RSG,Republic Services,Industrials,Environmental & Facilities Services,1998.0,2008.12.5,"Phoenix, Arizona"
401,RMD,ResMed,Health Care,Health Care Equipment,1989.0,2017.7.26,"San Diego, California"
402,RHI,Robert Half International,Industrials,Human Resource & Employment Services,1948.0,2000.12.5,"Menlo Park, California"
403,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,1903.0,1900.1.0,"Milwaukee, Wisconsin"
404,ROL,Rollins,Industrials,Environmental & Facilities Services,1948.0,2018.10.1,"Atlanta, Georgia"
405,ROP,Roper Technologies,Industrials,Industrial Conglomerates,1981.0,2009.12.23,"Sarasota, Florida"
406,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,1982.0,2009.12.21,"Dublin, California"
407,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1997.0,2014.12.5,"Miami, Florida"
408,SPGI,S&P Global,Financials,Financial Exchanges & Data,1917.0,1900.1.0,"New York, New York"
409,CRM,Salesforce,Information Technology,Application Software,1999.0,2008.9.15,"San Francisco, California"
410,SBAC,SBA Communications,Real Estate,Specialized REITs,1989.0,2017.9.1,"Boca Raton, Florida"
411,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,1926.0,1965.3.31,"Curaçao, Kingdom of the Netherlands"
412,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",1979.0,2012.7.2,"Dublin, Ireland"
413,SEE,Sealed Air,Materials,Paper Packaging,1960.0,1957.3.4,"Charlotte, North Carolina"
414,SRE,Sempra Energy,Utilities,Multi-Utilities,1998.0,1900.1.0,"San Diego, California"
415,NOW,ServiceNow,Information Technology,Systems Software,2003.0,2019.11.21,"Santa Clara, California"
416,SHW,Sherwin-Williams,Materials,Specialty Chemicals,1866.0,1964.6.30,"Cleveland, Ohio"
417,SPG,Simon Property Group,Real Estate,Retail REITs,2003.0,2002.6.26,"Indianapolis, Indiana"
418,SWKS,Skyworks Solutions,Information Technology,Semiconductors,2002.0,2015.3.12,"Woburn, Massachusetts"
419,SNA,Snap-on,Industrials,Industrial Machinery,1920.0,1982.9.30,"Kenosha, Wisconsin"
420,SO,Southern Company,Utilities,Electric Utilities,1945.0,1957.3.4,"Atlanta, Georgia"
421,LUV,Southwest Airlines,Industrials,Airlines,1967.0,1994.7.1,"Dallas, Texas"
422,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,1843.0,1982.9.30,"New Britain, Connecticut"
423,SBUX,Starbucks,Consumer Discretionary,Restaurants,1971.0,1900.1.0,"Seattle, Washington"
424,STT,State Street Corporation,Financials,Asset Management & Custody Banks,1792.0,1900.1.0,"Boston, Massachusetts"
425,STE,Steris,Health Care,Health Care Equipment,1985.0,2019.12.23,"Dublin, Ireland"
