,symbol,update_date,querter_sales,profit,operating,real_profit,sales,shared,next_update_date
168,AON,210331.0,3525.0,,1245.0,913.0,11370000000.0,225630496.0,211028.0
169,AON,201231.0,2965.0,,713.0,524.0,11370000000.0,225630496.0,211028.0
170,AON,200930.0,2385.0,,441.0,275.0,11370000000.0,225630496.0,211028.0
171,AON,200630.0,2497.0,,587.0,398.0,11370000000.0,225630496.0,211028.0
172,AOS,210331.0,769.0,288.6,126.1,97.7,3030000000.0,160456241.0,211101.0
173,AOS,201231.0,834.5,324.1,151.9,120.0,3030000000.0,160456241.0,211101.0
174,AOS,200930.0,760.0,297.1,137.3,105.4,3030000000.0,160456241.0,211101.0
175,AOS,200630.0,663.9,247.5,87.0,67.8,3030000000.0,160456241.0,211101.0
176,APA,210331.0,1871.0,1113.0,511.0,388.0,4960000000.0,377972835.0,211103.0
177,APA,201231.0,1219.0,800.0,115.0,10.0,4960000000.0,377972835.0,211103.0
178,APA,200930.0,1120.0,786.0,158.0,-4.0,4960000000.0,377972835.0,211103.0
179,APA,200630.0,752.0,442.0,-154.0,-386.0,4960000000.0,377972835.0,211103.0
180,AAPL,210327.0,89584.0,38079.0,27503.0,23630.0,325410000000.0,16687631000.0,211103.0
181,AAPL,201226.0,111439.0,44328.0,33534.0,28755.0,325410000000.0,16687631000.0,211103.0
182,AAPL,200926.0,64698.0,24689.0,14775.0,12673.0,325410000000.0,16687631000.0,211103.0
183,AAPL,200627.0,59685.0,22680.0,13091.0,11253.0,325410000000.0,16687631000.0,211103.0
184,AMAT,210502.0,5582.0,2653.0,1579.0,1330.0,19830000000.0,917660832.0,210818.0
185,AMAT,210131.0,5162.0,2349.0,1283.0,1130.0,19830000000.0,917660832.0,210818.0
186,AMAT,201025.0,4688.0,2130.0,1283.0,1131.0,19830000000.0,917660832.0,210818.0
187,AMAT,200726.0,4395.0,1955.0,1108.0,841.0,19830000000.0,917660832.0,210818.0
188,APTV,210331.0,4023.0,727.0,429.0,295.0,13860000000.0,270462749.0,211102.0
189,APTV,201231.0,4212.0,785.0,446.0,299.0,13860000000.0,270462749.0,211102.0
190,APTV,200930.0,3668.0,647.0,364.0,299.0,13860000000.0,270462749.0,211102.0
191,APTV,200630.0,1960.0,17.0,-315.0,-366.0,13860000000.0,270462749.0,211102.0
192,ADM,210331.0,18893.0,1548.0,740.0,689.0,68280000000.0,558702110.0,211103.0
193,ADM,201231.0,17978.0,1352.0,585.0,687.0,68280000000.0,558702110.0,211103.0
194,ADM,200930.0,15126.0,1042.0,6.0,225.0,68280000000.0,558702110.0,211103.0
195,ADM,200630.0,16281.0,1108.0,454.0,469.0,68280000000.0,558702110.0,211103.0
196,ANET,210331.0,667.56,425.27,206.29,180.37,2460000000.0,76321815.0,211103.0
197,ANET,201231.0,648.48,414.58,194.64,182.96,2460000000.0,76321815.0,211103.0
198,ANET,200930.0,605.43,384.96,188.4,168.38,2460000000.0,76321815.0,211103.0
199,ANET,200630.0,540.57,344.09,166.99,144.79,2460000000.0,76321815.0,211103.0
200,AJG,210331.0,2165.0,862.1,460.6,382.1,7300000000.0,204886980.0,211027.0
201,AJG,201231.0,1703.6,580.6,177.1,142.2,7300000000.0,204886980.0,211027.0
202,AJG,200930.0,1849.1,634.9,255.0,176.6,7300000000.0,204886980.0,211027.0
203,AJG,200630.0,1584.0,596.0,226.8,153.7,7300000000.0,204886980.0,211027.0
204,AIZ,210331.0,2433.6,,221.5,163.0,9970000000.0,60566633.0,211108.0
205,AIZ,201231.0,2560.8,,210.2,139.2,9970000000.0,60566633.0,211108.0
206,AIZ,200930.0,2504.0,,21.4,-30.2,9970000000.0,60566633.0,211108.0
207,AIZ,200630.0,2474.5,,253.1,178.1,9970000000.0,60566633.0,211108.0
208,T,210331.0,43939.0,22852.0,7661.0,7550.0,172920000000.0,7140000000.0,211026.0
209,T,201231.0,45691.0,22781.0,-10745.0,-13883.0,172920000000.0,7140000000.0,211026.0
210,T,200930.0,42340.0,22501.0,6132.0,2816.0,172920000000.0,7140000000.0,211026.0
211,T,200630.0,40950.0,22967.0,3532.0,1281.0,172920000000.0,7140000000.0,211026.0
212,ATO,210331.0,1319.07,,381.8,296.75,3200000000.0,130671944.0,211109.0
213,ATO,201231.0,914.48,,298.84,217.68,3200000000.0,130671944.0,211109.0
214,ATO,200930.0,474.91,,100.84,65.33,3200000000.0,130671944.0,211109.0
215,ATO,200630.0,493.0,,139.03,117.79,3200000000.0,130671944.0,211109.0
216,ADSK,210430.0,989.3,896.5,133.8,155.6,3890000000.0,220013315.0,210830.0
217,ADSK,210131.0,1039.2,948.6,184.4,911.3,3890000000.0,220013315.0,210830.0
218,ADSK,201031.0,952.4,868.7,168.0,132.2,3890000000.0,220013315.0,210830.0
219,ADSK,200731.0,913.1,832.2,146.1,98.2,3890000000.0,220013315.0,210830.0
220,ADP,210331.0,4102.0,1829.8,1058.3,810.7,14650000000.0,425518320.0,211102.0
221,ADP,201231.0,3695.7,1580.0,815.3,647.5,14650000000.0,425518320.0,211102.0
222,ADP,200930.0,3470.7,1441.3,752.6,602.1,14650000000.0,425518320.0,211102.0
223,ADP,200630.0,3376.8,1313.8,514.2,411.6,14650000000.0,425518320.0,211102.0
224,AZO,210508.0,3651.02,1914.95,803.5,596.16,14260000000.0,21620000.0,210927.0
225,AZO,210213.0,2910.82,1559.38,481.77,345.95,14260000000.0,21620000.0,210927.0
226,AZO,201121.0,3154.26,1675.62,615.23,442.43,14260000000.0,21620000.0,210927.0
227,AZO,200829.0,4545.97,2412.97,1018.04,740.46,14260000000.0,21620000.0,210927.0
228,AVB,210331.0,551.13,341.68,88.7,142.22,2250000000.0,139604637.0,211031.0
229,AVB,201231.0,555.8,342.66,91.68,341.13,2250000000.0,139604637.0,211031.0
230,AVB,200930.0,567.4,354.56,111.52,147.7,2250000000.0,139604637.0,211031.0
231,AVB,200630.0,576.4,378.3,132.43,170.83,2250000000.0,139604637.0,211031.0
232,AVY,210403.0,2051.3,597.0,267.6,209.5,7300000000.0,83007729.0,211026.0
233,AVY,210102.0,1990.9,571.1,257.4,191.5,7300000000.0,83007729.0,211026.0
234,AVY,200926.0,1729.1,484.2,197.9,150.5,7300000000.0,83007729.0,211026.0
235,AVY,200627.0,1528.5,382.9,103.5,79.7,7300000000.0,83007729.0,211026.0
236,BKR,210331.0,4782.0,858.0,285.0,-452.0,25490000000.0,1041590528.0,211102.0
237,BKR,201231.0,5495.0,1009.0,182.0,652.0,25490000000.0,1041590528.0,211102.0
238,BKR,200930.0,5049.0,757.0,-49.0,-170.0,25490000000.0,1041590528.0,211102.0
239,BKR,200630.0,10161.0,1433.0,-16111.0,-10422.0,25490000000.0,1041590528.0,211102.0
240,BLL,210331.0,3125.0,632.0,300.0,200.0,12120000000.0,328254521.0,211103.0
241,BLL,201231.0,3102.0,654.0,296.0,227.0,12120000000.0,328254521.0,211103.0
242,BLL,200930.0,3093.0,663.0,373.0,241.0,12120000000.0,328254521.0,211103.0
243,BLL,200630.0,2801.0,571.0,178.0,94.0,12120000000.0,328254521.0,211103.0
244,BAC,210331.0,24019.0,,,8050.0,45330000000.0,8569317603.0,211013.0
245,BAC,201231.0,21307.0,,,5470.0,45330000000.0,8569317603.0,211013.0
246,BAC,200930.0,21693.0,,,4881.0,45330000000.0,8569317603.0,211013.0
247,BAC,200630.0,24018.0,,,3533.0,45330000000.0,8569317603.0,211013.0
248,BK,210331.0,4004.0,,,927.0,7940000000.0,875480847.0,211018.0
249,BK,201231.0,3939.0,,,749.0,7940000000.0,875480847.0,211018.0
250,BK,200930.0,3964.0,,,937.0,7940000000.0,875480847.0,211018.0
251,BK,200630.0,4173.0,,,950.0,7940000000.0,875480847.0,211018.0
