symbol,update_date,sales,profit,operating,real_profit
CDNS,200627.0,638.42,563.2,151.95,131.29
CZR,210331.0,1699.0,837.0,186.0,-423.0
CZR,201231.0,1497.0,645.0,-107.0,-555.0
CZR,200930.0,1377.0,620.0,-325.0,-926.0
CZR,200630.0,600.0,246.0,-202.0,-276.0
CPB,210502.0,1984.0,630.0,272.0,160.0
CPB,210131.0,2279.0,781.0,401.0,245.0
CPB,201101.0,2340.0,814.0,461.0,309.0
CPB,200802.0,2108.0,750.0,167.0,86.0
COF,210331.0,7552.0,,,3325.0
COF,201231.0,7855.0,,,2566.0
COF,200930.0,8041.0,,,2406.0
COF,200630.0,15747.0,,,-2258.0
CAH,210331.0,39275.0,1812.0,473.0,119.0
CAH,201231.0,41541.0,1776.0,461.0,629.0
CAH,200930.0,39065.0,1715.0,-625.0,-253.0
CAH,200630.0,36689.0,1590.0,263.0,656.0
KMX,210228.0,5164.26,641.37,262.25,209.94
KMX,201130.0,5184.94,631.43,310.5,235.3
KMX,200831.0,5372.17,752.14,388.34,296.7
KMX,200531.0,3228.78,354.18,4.16,4.98
CCL,210228.0,26.0,-328.0,-1524.0,-1973.0
CCL,201130.0,34.0,-350.0,-1642.0,-2222.0
CCL,200831.0,31.0,-400.0,-2333.0,-2859.0
CCL,200531.0,740.0,-685.0,-4177.0,-4374.0
CARR,210331.0,4699.0,1399.0,571.0,384.0
CARR,201231.0,4594.0,1300.0,1245.0,884.0
CARR,200930.0,5002.0,1560.0,1081.0,741.0
CARR,200630.0,3972.0,1146.0,442.0,261.0
CTLT,210331.0,1053.3,365.6,351.4,231.8
CTLT,201231.0,910.8,298.2,126.6,88.4
CTLT,200930.0,845.7,248.9,81.5,82.4
CTLT,200630.0,947.6,334.6,170.0,154.2
CAT,210331.0,11887.0,3883.0,1814.0,1530.0
CAT,201231.0,11235.0,3458.0,1380.0,780.0
CAT,200930.0,9881.0,2974.0,985.0,668.0
CAT,200630.0,9997.0,2892.0,784.0,458.0
CBOE,210331.0,1010.8,365.5,204.6,137.2
CBOE,201231.0,844.2,307.1,134.8,87.3
CBOE,200930.0,792.7,292.0,139.3,109.9
CBOE,200630.0,868.7,296.9,161.7,113.6
CBRE,210331.0,5938.88,1219.33,269.08,266.2
CBRE,201231.0,6910.5,1539.67,368.3,313.76
CBRE,200930.0,5645.14,1080.56,211.41,184.13
CBRE,200630.0,5381.38,989.25,94.17,81.9
CDW,210331.0,4837.5,795.2,323.4,232.6
CDW,201231.0,4956.2,880.9,332.2,238.3
CDW,200930.0,4756.4,825.5,317.8,193.2
CDW,200630.0,4365.7,747.2,283.4,189.1
CE,210331.0,1798.0,485.0,326.0,322.0
CE,201231.0,1591.0,376.0,1611.0,1453.0
CE,200930.0,1411.0,327.0,184.0,207.0
CE,200630.0,1193.0,242.0,83.0,107.0
CNC,210331.0,29983.0,,1072.0,699.0
CNC,201231.0,28288.0,,-2.0,-12.0
CNC,200930.0,29090.0,,862.0,568.0
CNC,200630.0,27712.0,,2029.0,1206.0
CNP,210331.0,2547.0,,453.0,363.0
CNP,201231.0,2054.0,,285.0,200.0
CNP,200930.0,1622.0,,302.0,121.0
CNP,200630.0,1575.0,,235.0,105.0
CERN,210331.0,1387.78,1157.12,218.06,172.25
CERN,201231.0,1395.03,1160.35,177.47,141.5
CERN,200930.0,1368.67,1136.78,411.82,356.68
CERN,200630.0,1330.35,1118.39,146.9,134.75
CF,210331.0,1048.0,289.0,241.0,151.0
CF,201231.0,1102.0,180.0,156.0,87.0
CF,200930.0,847.0,94.0,40.0,-28.0
CF,200630.0,1204.0,349.0,280.0,190.0
CRL,210327.0,824.57,308.28,123.7,61.53
CRL,201226.0,790.99,299.97,128.93,143.19
CRL,200926.0,743.3,289.27,132.75,102.91
CRL,200627.0,682.58,232.24,76.77,67.44
SCHW,210331.0,4819.0,4715.0,1960.0,1484.0
SCHW,201231.0,4272.0,4176.0,1476.0,1135.0
SCHW,200930.0,2537.0,2448.0,889.0,698.0
SCHW,200630.0,2547.0,2450.0,888.0,671.0
CHTR,210331.0,12522.0,6558.0,2068.0,807.0
CHTR,201231.0,12624.0,6787.0,2440.0,1246.0
CHTR,200930.0,12039.0,6342.0,2114.0,814.0
CHTR,200630.0,11696.0,6074.0,1933.0,766.0
CVX,210331.0,31350.0,13785.0,2117.0,1377.0
CVX,201231.0,24843.0,11456.0,-865.0,-665.0
CVX,200930.0,23997.0,10549.0,-168.0,-207.0
CVX,200630.0,16142.0,7998.0,-7595.0,-8270.0
CMG,210331.0,1741.58,490.52,161.44,127.1
CMG,201231.0,1607.71,412.44,116.89,190.96
CMG,200930.0,1601.41,409.92,107.1,80.24
CMG,200630.0,1364.74,262.34,-4.94,8.18
CB,210331.0,9971.0,,3255.0,2300.0
CB,201231.0,9848.0,,2250.0,2418.0
CB,200930.0,9464.0,,977.0,1194.0
CB,200630.0,8985.0,,-213.0,-331.0
CHD,210331.0,1238.9,550.9,302.6,220.7
CHD,201231.0,1295.3,557.4,190.6,150.2
CHD,200930.0,1241.0,565.2,273.8,216.2
CHD,200630.0,1194.3,559.6,250.7,189.7
CI,210331.0,40972.0,,1827.0,1161.0
CI,201231.0,41830.0,,5715.0,4135.0
CI,200930.0,40898.0,,2140.0,1388.0
CI,200630.0,39303.0,,2663.0,1754.0
CINF,210331.0,2227.0,,781.0,620.0
CINF,201231.0,2694.0,,1330.0,1049.0
CINF,200930.0,2227.0,,627.0,484.0
CINF,200630.0,2714.0,,1159.0,909.0
CTAS,210228.0,1777.06,809.52,326.47,258.38
CTAS,201130.0,3503.62,1646.09,702.58,584.86
CTAS,200831.0,1746.57,826.2,349.71,300.0
CTAS,200531.0,1619.58,707.82,207.43,144.59
CSCO,210501.0,12803.0,8185.0,3465.0,2863.0
CSCO,210123.0,11960.0,7784.0,3223.0,2545.0
CSCO,201024.0,11929.0,7581.0,2570.0,2174.0
